Restaurant ID,Restaurant Name,Menu Item,Description,Price,Link,Calories,Protein (g),Fat (g),Carbs (g)
1,Hoods Resto & Bar,Shredded Hoods Tortilla Cheese Bread,"Tortilla bread with creamy cheese, yellow Cheddar cheese, and mozzarella cheese. Served with green salad.",AED 52,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,414,11,22,41
1,Hoods Resto & Bar,Shrimp Sticks,"Grilled shrimps with mustard, dry herbs, lemon juice, garlic, salt, and pepper. Served with mustard herb sauce.",AED 66,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,210,21,9,5
1,Hoods Resto & Bar,Stuffed Vegetables Chicken Rolled,"Grilled chicken breast, carrot, red pepper, yellow pepper, green pepper, white onion, mushroom, and asparagus. Side sauce: white mushroom sauce.",AED 42,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,275,25,12,15
1,Hoods Resto & Bar,Edamame,Boiled edamame with rock salt served with sweet chilli sauce.,AED 34,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,120,10,6,9
1,Hoods Resto & Bar,Grilled Chicken Wings,"Grilled chicken wings marinated with dry herbs, garlic, and lemon. Choose your side dip: lemon garlic sauce, BBQ sauce, or buffalo sauce.",AED 37,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,215,26,9,8
1,Hoods Resto & Bar,Fried Chicken Wings,Breaded fried chicken wings in BBQ sauce.,AED 37,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,180,12,12,8
1,Hoods Resto & Bar,Roasted Chicken Drum,"Roasted chicken drum with garlic, dry herbs, mustard, paprika, salt, and pepper, topped with almond and tomato sauce.",AED 42,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,265,26,10,13
1,Hoods Resto & Bar,Stuffed Vegetables Beef Rolled,"Grilled beef, carrot, red pepper, yellow pepper, green pepper, white onion, mushroom, and asparagus. Side sauce: brown mushroom sauce.",AED 52,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,295,25,15,14
1,Hoods Resto & Bar,Crispy Ball Fried,"Selection of beef, chicken, or fish. Select your side sauce: sweet and chilli sauce, cocktail sauce, or BBQ sauce.",AED 36,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,150,8,10,7
1,Hoods Resto & Bar,Tacos,"Selection of chicken, beef, or fish, red pepper, green pepper, yellow pepper, sweet corn, red kidney beans, and lettuce. Topped with white onion, coriander leaves, tomato, yellow creamy cheese, and jalapeño. Served with guacamole, sour cream, and homemade Mexican sauce.",AED 64,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,850,46,25,21
1,Hoods Resto & Bar,Nachos Mexican,"Selection of chicken or beef, red pepper, green pepper, yellow pepper, sweet corn, and red kidney beans. Topped with white onion, coriander leaves, tomato, yellow creamy cheese, and jalapeño. Served with guacamole, sour cream, and homemade Mexican sauce.",AED 58,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,415,23,22,33
1,Hoods Resto & Bar,Fish Fried Fingers,Fried fish with sweet chilli sauce or tartar sauce.,AED 32,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,300,16,15,23
1,Hoods Resto & Bar,Crispy Calamari,Golden crispy calamari rings served with chilli sauce or tartar sauce.,AED 38,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,280,15,14,18
1,Hoods Resto & Bar,Dynamite Shrimps,Fried shrimps marinated with homemade dynamite sauce.,AED 58,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,320,17,19,14
1,Hoods Resto & Bar,Special Jumbo Hoods Cheese Rolls,"Fried spring roll sheets with creamy cheese, yellow Cheddar cheese, and mozzarella cheese. Served with cocktail sauce.",AED 44,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,380,15,24,28
1,Hoods Resto & Bar,French Fries,Served with ketchup.,AED 24,https://deliveroo.ae/menu/Abu Dhabi/al-nahyan/hoods-resto-and-bar?day=today&geohash=thqew2ggd2zv&time=ASAP,220,3,10,30
